data_label	Geneset.Type	Geneset.ID	Description	P.value	FDR	Odds.Ratio	Status	n.Genes.in.Geneset	n.Genes.Returned	Genes.Returned
C	GO_BP	GO:0070201	regulation of establishment of protein localization	0.6829770774190471	0.887695078317218	0.058287798106809695	enriched	204	204	ENSRNOG00000049232, ENSRNOG00000014597, ENSRNOG00000008046, ENSRNOG00000064634, ENSRNOG00000015603, ENSRNOG00000055547, ENSRNOG00000014486, ENSRNOG00000018903, ENSRNOG00000000596, ENSRNOG00000003463, ENSRNOG00000005133, ENSRNOG00000009882, ENSRNOG00000011488, ENSRNOG00000013717, ENSRNOG00000018500, ENSRNOG00000034177, ENSRNOG00000046458, ENSRNOG00000069271, ENSRNOG00000000503, ENSRNOG00000001296, ENSRNOG00000002833, ENSRNOG00000003635, ENSRNOG00000005906, ENSRNOG00000007628, ENSRNOG00000008292, ENSRNOG00000012186, ENSRNOG00000012957, ENSRNOG00000013305, ENSRNOG00000015257, ENSRNOG00000023509, ENSRNOG00000033280, ENSRNOG00000053288, ENSRNOG00000053787, ENSRNOG00000055365, ENSRNOG00000061429, ENSRNOG00000065643, ENSRNOG00000000513, ENSRNOG00000000967, ENSRNOG00000001222, ENSRNOG00000001383, ENSRNOG00000001817, ENSRNOG00000002418, ENSRNOG00000003407, ENSRNOG00000003603, ENSRNOG00000004072, ENSRNOG00000004165, ENSRNOG00000004563, ENSRNOG00000004834, ENSRNOG00000005229, ENSRNOG00000006816, ENSRNOG00000007234, ENSRNOG00000007468, ENSRNOG00000008223, ENSRNOG00000009329, ENSRNOG00000009468, ENSRNOG00000009495, ENSRNOG00000010235, ENSRNOG00000010278, ENSRNOG00000010574, ENSRNOG00000010889, ENSRNOG00000013562, ENSRNOG00000014448, ENSRNOG00000015971, ENSRNOG00000017231, ENSRNOG00000017604, ENSRNOG00000018003, ENSRNOG00000018598, ENSRNOG00000018797, ENSRNOG00000019305, ENSRNOG00000019365, ENSRNOG00000019719, ENSRNOG00000019996, ENSRNOG00000020254, ENSRNOG00000021130, ENSRNOG00000022533, ENSRNOG00000024470, ENSRNOG00000025296, ENSRNOG00000025527, ENSRNOG00000027949, ENSRNOG00000029698, ENSRNOG00000031032, ENSRNOG00000032152, ENSRNOG00000038881, ENSRNOG00000043061, ENSRNOG00000045797, ENSRNOG00000045920, ENSRNOG00000046309, ENSRNOG00000046705, ENSRNOG00000060054, ENSRNOG00000062473, ENSRNOG00000070951, ENSRNOG00000000150, ENSRNOG00000001173, ENSRNOG00000001276, ENSRNOG00000001302, ENSRNOG00000002141, ENSRNOG00000002175, ENSRNOG00000002247, ENSRNOG00000002525, ENSRNOG00000003069, ENSRNOG00000003988, ENSRNOG00000004205, ENSRNOG00000004517, ENSRNOG00000004666, ENSRNOG00000004828, ENSRNOG00000005506, ENSRNOG00000005916, ENSRNOG00000006859, ENSRNOG00000007229, ENSRNOG00000007346, ENSRNOG00000007350, ENSRNOG00000007400, ENSRNOG00000007539, ENSRNOG00000007901, ENSRNOG00000008332, ENSRNOG00000008620, ENSRNOG00000008839, ENSRNOG00000008972, ENSRNOG00000009110, ENSRNOG00000009266, ENSRNOG00000009406, ENSRNOG00000009822, ENSRNOG00000009935, ENSRNOG00000010210, ENSRNOG00000010522, ENSRNOG00000010533, ENSRNOG00000010880, ENSRNOG00000010906, ENSRNOG00000010989, ENSRNOG00000011459, ENSRNOG00000011475, ENSRNOG00000011507, ENSRNOG00000011824, ENSRNOG00000012095, ENSRNOG00000012295, ENSRNOG00000012710, ENSRNOG00000013351, ENSRNOG00000013780, ENSRNOG00000014254, ENSRNOG00000014395, ENSRNOG00000014481, ENSRNOG00000014621, ENSRNOG00000014624, ENSRNOG00000014644, ENSRNOG00000014816, ENSRNOG00000014960, ENSRNOG00000015434, ENSRNOG00000015911, ENSRNOG00000015953, ENSRNOG00000017035, ENSRNOG00000017220, ENSRNOG00000017840, ENSRNOG00000017911, ENSRNOG00000017925, ENSRNOG00000018233, ENSRNOG00000018289, ENSRNOG00000018454, ENSRNOG00000018524, ENSRNOG00000018570, ENSRNOG00000019112, ENSRNOG00000019147, ENSRNOG00000019374, ENSRNOG00000019407, ENSRNOG00000019728, ENSRNOG00000019834, ENSRNOG00000020021, ENSRNOG00000020155, ENSRNOG00000020298, ENSRNOG00000020865, ENSRNOG00000021057, ENSRNOG00000021128, ENSRNOG00000021259, ENSRNOG00000021317, ENSRNOG00000022448, ENSRNOG00000022686, ENSRNOG00000024119, ENSRNOG00000025570, ENSRNOG00000025909, ENSRNOG00000026653, ENSRNOG00000028243, ENSRNOG00000028255, ENSRNOG00000031789, ENSRNOG00000032768, ENSRNOG00000033101, ENSRNOG00000033153, ENSRNOG00000034066, ENSRNOG00000037851, ENSRNOG00000037909, ENSRNOG00000043114, ENSRNOG00000046949, ENSRNOG00000047545, ENSRNOG00000049560, ENSRNOG00000049780, ENSRNOG00000054782, ENSRNOG00000055079, ENSRNOG00000056458, ENSRNOG00000056954, ENSRNOG00000057443, ENSRNOG00000058940, ENSRNOG00000059961, ENSRNOG00000059968, ENSRNOG00000060237, ENSRNOG00000066893, ENSRNOG00000068243
C	GO_CC	GO:0045179	apical cortex	0.6728146106553152	0.8880005202465675	0.38734086729879214	enriched	5	5	ENSRNOG00000024712, ENSRNOG00000001191, ENSRNOG00000013069, ENSRNOG00000024947, ENSRNOG00000059260
C	GO_CC	GO:0140445	chromosome, telomeric repeat region	0.6724887319762652	0.8880005202465675	-0.3866320488443345	depleted	4	4	ENSRNOG00000019986, ENSRNOG00000020189, ENSRNOG00000020376, ENSRNOG00000038973
C	GO_BP	GO:1901223	negative regulation of NIK/NF-kappaB signaling	0.6834384164398783	0.8880669912673015	-0.2640669360095527	depleted	9	9	ENSRNOG00000012868, ENSRNOG00000030667, ENSRNOG00000002520, ENSRNOG00000014048, ENSRNOG00000055597, ENSRNOG00000005916, ENSRNOG00000014896, ENSRNOG00000018570, ENSRNOG00000020678
C	GO_BP	GO:1905522	negative regulation of macrophage migration	0.6836353058239117	0.8880951730449534	0.3963255870560084	enriched	4	4	ENSRNOG00000002014, ENSRNOG00000002141, ENSRNOG00000006589, ENSRNOG00000008246
C	GO_BP	GO:0001895	retina homeostasis	0.6845003442960049	0.8889910953718803	0.15140722173926124	enriched	30	30	ENSRNOG00000011967, ENSRNOG00000014538, ENSRNOG00000036701, ENSRNOG00000010903, ENSRNOG00000023546, ENSRNOG00000033087, ENSRNOG00000000606, ENSRNOG00000001700, ENSRNOG00000010259, ENSRNOG00000011144, ENSRNOG00000024450, ENSRNOG00000030625, ENSRNOG00000031773, ENSRNOG00000034254, ENSRNOG00000001333, ENSRNOG00000002911, ENSRNOG00000003098, ENSRNOG00000003955, ENSRNOG00000004405, ENSRNOG00000005825, ENSRNOG00000007284, ENSRNOG00000008334, ENSRNOG00000009580, ENSRNOG00000012565, ENSRNOG00000021149, ENSRNOG00000026913, ENSRNOG00000028996, ENSRNOG00000030017, ENSRNOG00000046326, ENSRNOG00000046566
C	GO_BP	GO:0050962	detection of light stimulus involved in sensory perception	0.6848970172688245	0.8892169851023967	0.29390813023031453	enriched	8	8	ENSRNOG00000006478, ENSRNOG00000002238, ENSRNOG00000010903, ENSRNOG00000019296, ENSRNOG00000008053, ENSRNOG00000019340, ENSRNOG00000031773, ENSRNOG00000017589
C	GO_BP	GO:1904892	regulation of receptor signaling pathway via STAT	0.6851453718758703	0.8892169851023967	0.13340241356747887	enriched	39	39	ENSRNOG00000001720, ENSRNOG00000005711, ENSRNOG00000056836, ENSRNOG00000005615, ENSRNOG00000014248, ENSRNOG00000019322, ENSRNOG00000020388, ENSRNOG00000028198, ENSRNOG00000063373, ENSRNOG00000002227, ENSRNOG00000002568, ENSRNOG00000003614, ENSRNOG00000005350, ENSRNOG00000007468, ENSRNOG00000010278, ENSRNOG00000043416, ENSRNOG00000045797, ENSRNOG00000000655, ENSRNOG00000002196, ENSRNOG00000007002, ENSRNOG00000007948, ENSRNOG00000008839, ENSRNOG00000008965, ENSRNOG00000010906, ENSRNOG00000015301, ENSRNOG00000015654, ENSRNOG00000017453, ENSRNOG00000018669, ENSRNOG00000025181, ENSRNOG00000027839, ENSRNOG00000027860, ENSRNOG00000032948, ENSRNOG00000040287, ENSRNOG00000053979, ENSRNOG00000057557, ENSRNOG00000058856, ENSRNOG00000059968, ENSRNOG00000065741, ENSRNOG00000068243
C	GO_BP	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	0.6853759638577754	0.8892169851023967	0.1845720429307151	enriched	21	21	ENSRNOG00000015603, ENSRNOG00000034177, ENSRNOG00000046458, ENSRNOG00000000503, ENSRNOG00000008292, ENSRNOG00000009329, ENSRNOG00000027949, ENSRNOG00000029698, ENSRNOG00000031032, ENSRNOG00000046309, ENSRNOG00000010880, ENSRNOG00000012295, ENSRNOG00000015911, ENSRNOG00000020021, ENSRNOG00000020865, ENSRNOG00000021057, ENSRNOG00000032768, ENSRNOG00000047545, ENSRNOG00000049780, ENSRNOG00000054782, ENSRNOG00000055079
C	GO_BP	GO:0043473	pigmentation	0.6853313391143143	0.8892169851023967	-0.1308620714086123	depleted	39	39	ENSRNOG00000004677, ENSRNOG00000033134, ENSRNOG00000010997, ENSRNOG00000011302, ENSRNOG00000016551, ENSRNOG00000003517, ENSRNOG00000014454, ENSRNOG00000052979, ENSRNOG00000057040, ENSRNOG00000001455, ENSRNOG00000002208, ENSRNOG00000002227, ENSRNOG00000004992, ENSRNOG00000005158, ENSRNOG00000010624, ENSRNOG00000012176, ENSRNOG00000012686, ENSRNOG00000028598, ENSRNOG00000033397, ENSRNOG00000048719, ENSRNOG00000056580, ENSRNOG00000005386, ENSRNOG00000007650, ENSRNOG00000007784, ENSRNOG00000008671, ENSRNOG00000012684, ENSRNOG00000013780, ENSRNOG00000013994, ENSRNOG00000014395, ENSRNOG00000015774, ENSRNOG00000016477, ENSRNOG00000016497, ENSRNOG00000017701, ENSRNOG00000020876, ENSRNOG00000025481, ENSRNOG00000030639, ENSRNOG00000045838, ENSRNOG00000054224, ENSRNOG00000056889
